metric,category,value,year,unit
Net Revenue,Total,93.9,2025,B
Net Revenue,North America,55.7,2025,B
Net Revenue,International,38.2,2025,B
Core Operating Profit,Total,15,2025,B
Core Operating Profit,North America,10,2025,B
Core Operating Profit,International,7,2025,B
Core Operating Margin,North America,18,2025,%
Core Operating Margin,International,18,2025,%
Organic Revenue CAGR,Total,7,2020-2025,%
Core CC EPS CAGR,Total,8,2020-2025,%
Net Revenue Growth Since 2019,Total,40,2019-2025,%
Core EPS Growth Since 2019,Total,47,2019-2025,%
Net Revenue Growth Since 2019,North America,35,2019-2025,%
Net Revenue Growth Since 2019,International,48,2019-2025,%
Revenue Share,Convenient Foods,58,2025,%
Revenue Share,Beverages,42,2025,%
Q4 Net Revenue Growth,Total,5.6,Q4 2025,%
Q4 Organic Revenue Growth,Total,2.1,Q4 2025,%
Q4 Core Operating Margin Change,Total,140,Q4 2025,bps
Q4 Core EPS Growth,Total,16,Q4 2025,%
Gross Productivity Multiple,Total,2,2021-2025,x
Dividend Per Share,2019,3.79,2019,$
Dividend Per Share,2020,4.02,2020,$
Dividend Per Share,2021,4.25,2021,$
Dividend Per Share,2022,4.53,2022,$
Dividend Per Share,2023,4.95,2023,$
Dividend Per Share,2024,5.33,2024,$
Dividend Per Share,2025,5.62,2025,$
Dividend Per Share,2026,5.86,2026,$
Dividend CAGR,Total,7,2010-2026,%
Consecutive Dividend Increases,Total,54,2026,years
